schNo,schName
CHK001,Akoyikoyi School
CHK002,Amwachang Elementary School
CHK003,Berea Christian School
CHK004,Central & East Wonip Elementary School
CHK005,Chukuram Elementary School
CHK006,Chuuk High School
CHK007,Eot Elementary School
CHK008,Epin/Nukaf Elementary School
CHK009,Ettal Elementary School
CHK010,Etten Elementary School
CHK011,Faichuk High School/Fason Elementary School
CHK012,Fanapanges Elementary School
CHK013,Faro/Winifei Elementary School
CHK014,Fonoton Elementary School
CHK015,Foup Elementary School
CHK016,Halls Jr. High School/Fananu Elementary School
CHK017,Houk Elementary School
CHK018,Inaka Elementary School
CHK019,Iras Demo Elementay School
CHK020,Kuchu Elementary School
CHK021,Kukku Elementary School
CHK022,Kuttu Elementary School
CHK023,Losap Elementary School
CHK024,Lukeisel Jr. High School
CHK025,Makur Elementary School
CHK026,Manaio Elementary School
CHK027,Mechitiw Elementary School
CHK028,Messa Elementary School
CHK029,Moch High School/Moch Elementary School
CHK030,Mortlocks High School
CHK031,Munien/Nechocho Elementary School
CHK032,Murilo Elementary School
CHK033,Mwan Elementary School
CHK034,Namoluk Elementary School
CHK035,Neauo Annex (Wichap)
CHK036,Neauo Elementary School
CHK037,Nechap Elementary School
CHK038,Neirenomw Elementary School
CHK039,Nema Elementary School
CHK040,Nomusofo JHS/Udot Elementary School
CHK041,Nomwenemu Jr. High School/Lekinioch Elementary School
CHK042,Nomwin Elementary School
CHK043,Nukuno Christian High School
CHK044,Nukuno Elementary School
CHK045,Oneop Elementary School
CHK046,Onou Elementary School
CHK047,P&P Elementary School
CHK048,Panitiw Elementary School
CHK049,Parem Elementary School Chuuk
CHK050,Pattiw Jr. High School/Polowat Elementary School
CHK051,Pentecostal Light House Academy
CHK052,Piherarh Elementary School
CHK053,Piis Paneu Elementary School
CHK054,Piisemwar Elementary School
CHK055,Pollap & Tamatam Jr. High School/Pollap Elementary School
CHK056,PPO JHS/Sapou Elementary School
CHK057,Pwene Elementary School
CHK058,Romanum Elementary School
CHK059,Ruo Elementary School
CHK060,Saint Cecilia School
CHK061,Sapota Elementary School
CHK063,Sapuk Elementary School
CHK064,Saramen Chuuk Academy
CHK065,Satowan Elementary School
CHK066,Seventh Days Adventist School
CHK067,Siis Elementary School
CHK068,Sino Memorial Elementary School
CHK069,Southern Namoneas High School
CHK070,Southern Namoneas High School/Sapore Elementary School
CHK071,Ta Elementary School
CHK072,Tamatam Elementary School
CHK073,Teruo Bokuku Elementary School
CHK074,UFO Elementary School
CHK075,Unanu Elementary School
CHK076,Weipat High School/Onoun Elementary School
CHK077,West Fefen Elementary School
CHK078,West Wonip Annex
CHK079,Wichukuno Elementary School
CHK080,Xavier High School
YAP401,Asor Elementary School
YAP402,Bael Elementary School
YAP404,Dalipebinaw ECE Center
YAP405,Dalipebinaw Elementary School
YAP406,Dinay ECE Center
YAP407,Eauripik Elementary School
YAP408,Eauripik ECE Center
YAP409,Elato ECE Center
YAP410,Elato Elementary School
YAP411,Fadraii ECE Center
YAP412,Fadraii Elementary School
YAP413,Fais ECE Center
YAP414,Fais Elementary School
YAP415,Faith Christian Academy
YAP416,Falachig ECE Center
YAP417,Falalis ECE Center
YAP418,Falalis Elementary School
YAP419,Falalop Ulithi ECE Center
YAP420,Falalop Ulithi Elementary School
YAP421,Falalop Woleai ECE Center
YAP422,Fanif ECE Center
YAP423,Fanif Elementary School
YAP424,Faraulap ECE Center
YAP425,Faraulap Elementary School
YAP426,Gaanelay Elementary School
YAP427,Gagil ECE Center
YAP428,Gagil Elementary School
YAP429,Gilman ECE Center
YAP430,Gilman Elementary School
YAP431,Ifalik Elementary School
YAP434,Lamotrek ECE Center
YAP435,Lamotrek Elementary School
YAP436,Maap ECE Center
YAP437,Maap Elementary School
YAP438,Mogmog ECE Center
YAP439,Mogmog Elementary School
YAP440,North Fanif Elementary School
YAP441,Piig ECE Center
YAP442,Piig Elementary School
YAP443,Yap Seventh Day Adventist School
YAP444,Rawaii ECE Center
YAP445,Satawal A ECE Center
YAP446,Satawal B ECE Center
YAP463,Satawal ECE Center
YAP447,Satawal Elementary School
YAP448,Seliap Elementary School
YAP449,St. Mary's School
YAP450,Tamilang ECE Center
YAP451,Tamilang Elementary School
YAP452,Tegailap Elementary School
YAP453,Ulithi High School
YAP454,Woleai Elementary School
YAP455,Woleai High School
YAP456,Wottegai ECE Center
YAP457,Wottegai Elementary School
YAP458,Yap Catholic High School
YAP459,Yap High School
YAP460,Yap International Christian School
PNI301,Awak Elementary School
PNI302,Calvary Christian Academy
PNI303,Enipein Elementary School
PNI304,ESDM Elementary School
PNI305,Kapingamarangi Elementary School
PNI306,Kolonia Elementary School
PNI307,Lewetik Elementary School
PNI308,Lukop Elementary School
PNI309,Madolenihmw High School
PNI310,Mand Elementary School
PNI311,Mwoakilloa Elementary School
PNI312,Nanpei Memorial High School
PNI313,Nanpei Memorial School
PNI314,Nett Elementary School
PNI315,Nukuoro Elementary School
PNI316,Ohmine Elementary School
PNI317,Ohwa Christian School
PNI318,Our Lady of Mercy Catholic High School
PNI319,Pakein Elementary School
PNI320,Palikir Elementary School
PNI321,Parem Elementary School Pohnpei
PNI322,Pehleng Elementary School
PNI323,PICS High School
PNI324,Pingelap Elementary School
PNI325,Pohnlangas Elementary School
PNI326,Pohnpei Catholic School
PNI327,Pohnpei Seventh Day Adventist School
PNI328,Pohnpei St. Paul Christian
PNI329,Rohi Elementary School
PNI330,RSP Elementary School
PNI331,Saladak Elementary School
PNI332,Salapwuk Elementary School
PNI333,Sapwalap Elementary School
PNI334,Sapwuafik Elementary School
PNI335,Seinwar Elementary School
PNI336,Sekere Elementary School
PNI337,Sokehs Powe Elementary School
PNI338,Temwen Elementary School
PNI339,Wapar Elementary School
PNI340,Wone Elementary School
KSA201,Kosrae High School
KSA202,Kosrae Seventh Day Adventist School
KSA203,Lelu Elementary School
KSA204,Malem Elementary School
KSA205,Sansrik Elementary School
KSA209,SMD
KSA206,Tafunsak Elementary School
KSA207,Utwe Elementary School
KSA208,Walung Elementary School
